234;5;0;0;2;3
229;4;2;0;0;2
218;4;0;0;1;3
238;5;2;0;0;3
231;4;2;1;1;0
240;5;3;0;0;2
227;4;1;1;1;1
233;4;3;1;0;0
221;4;0;2;0;2
216;3;2;0;1;0
211;3;0;2;1;0
228;4;1;2;0;1
213;3;1;0;2;0
210;3;0;2;0;1
202;2;0;1;1;0
219;4;0;0;2;2
207;3;0;0;2;1
237;5;0;3;2;0
215;3;2;0;0;1
235;5;0;0;3;2
225;4;1;0;3;0
223;4;0;3;0;1
204;2;1;0;1;0
220;4;0;1;1;2
232;4;2;2;0;0
203;2;1;0;0;1
236;5;0;2;3;0
239;5;2;3;0;0
230;4;2;0;2;0
208;3;0;1;0;2
224;4;1;0;2;1
205;2;1;1;0;0
201;2;0;1;0;1
206;3;0;0;1;2
217;3;2;1;0;0
226;4;1;1;1;1
212;3;1;0;0;2
209;3;0;1;2;0
214;3;1;2;0;0
241;5;3;2;0;0
200;2;0;0;1;1
222;4;0;2;2;0
